study,number,params_max_allowed_bout_overlap,params_max_bout_gap,params_prefilter_recipient_bouts,params_quantile_range_lower-approach,params_quantile_range_lower-chase,params_quantile_range_lower-dart_bite,params_quantile_range_lower-frontal_display,params_quantile_range_lower-lateral_display,params_quantile_range_lower-none,params_quantile_range_lower-quiver,params_quantile_range_upper-approach,params_quantile_range_upper-chase,params_quantile_range_upper-dart_bite,params_quantile_range_upper-frontal_display,params_quantile_range_upper-lateral_display,params_quantile_range_upper-none,params_quantile_range_upper-quiver,params_quantile_range_window_lower-approach,params_quantile_range_window_lower-chase,params_quantile_range_window_lower-dart_bite,params_quantile_range_window_lower-frontal_display,params_quantile_range_window_lower-lateral_display,params_quantile_range_window_lower-none,params_quantile_range_window_lower-quiver,params_quantile_range_window_upper-approach,params_quantile_range_window_upper-chase,params_quantile_range_window_upper-dart_bite,params_quantile_range_window_upper-frontal_display,params_quantile_range_window_upper-lateral_display,params_quantile_range_window_upper-none,params_quantile_range_window_upper-quiver,params_smoothing_function,params_smoothing_window-approach,params_smoothing_window-chase,params_smoothing_window-dart_bite,params_smoothing_window-frontal_display,params_smoothing_window-lateral_display,params_smoothing_window-none,params_smoothing_window-quiver,params_threshold-approach,params_threshold-chase,params_threshold-dart_bite,params_threshold-frontal_display,params_threshold-lateral_display,params_threshold-none,params_threshold-quiver,params_weight_max_probability,value
0,1793,13,27,True,0.36532177250037945,0.43450425162633616,0.46504831723940604,0.4254196719335147,0.3708522581769459,0.4694275077523896,0.45875195943468666,0.6827022205560548,0.9426909664866151,0.9693732864233744,0.6410536579036862,0.830690564246316,0.7273661803649045,0.8634473418926185,70,62,76,12,82,34,48,28,84,32,18,82,74,82,median,80,78,74,64,90,62,58,0.16247561201743085,0.7664755640693517,0.13348090651066197,0.8488784395525468,0.4323105782957545,0.023919437948347128,0.3164841986688117,0.7516552008596451,0.4820813693349348
0,1794,13,28,True,0.36496106277916,0.4402762548425873,0.4673446599279287,0.4119519263193288,0.37043867758176796,0.4721696853750957,0.45684879667319434,0.9470902880844764,0.9445467926985776,0.8310218345257321,0.6424747903925984,0.8290780709867924,0.7274938553404628,0.86369396606031,66,68,76,12,82,34,42,26,80,34,18,82,74,80,median,80,78,74,64,90,62,58,0.1632142777616444,0.7674589333006446,0.10605112370989522,0.8526398103503896,0.5456325899664305,0.021778202575680784,0.31486538521209917,0.7492059476281037,0.48349727899754846
0,1795,13,27,True,0.3311751413862791,0.44010176290602604,0.4687174571110517,0.4290632827976058,0.368771543029898,0.4689111414405106,0.458882481173194,0.6809396797364075,0.9439305003395494,0.9885957148794928,0.6441284998498453,0.8114714190486876,0.7280560294807801,0.8644069280330199,66,68,72,12,82,34,42,26,80,34,18,82,74,80,median,80,78,74,64,90,62,58,0.0952198499462036,0.7628617539697139,0.10686408550239851,0.9088171638652652,0.5414593092896988,0.03523801800291329,0.3140694980871871,0.7523166590487036,0.4836912601343852
0,1796,13,27,True,0.36183077583159456,0.4421377212763437,0.4688642885697606,0.4254717243672251,0.3594258319307719,0.47136714177731553,0.4589941224004796,0.6840200960950503,0.9417590508104773,0.9366555517826978,0.6417474494567385,0.8121773630313938,0.7267278449996573,0.8637596244542286,70,62,76,12,82,34,42,72,80,26,18,82,74,80,median,80,78,76,64,90,62,58,0.09179067395019916,0.771734133067422,0.08741399606021678,0.8504624154107064,0.5405064104721758,0.027500242967471035,0.31542202073251663,0.7525957181477012,0.4831631451802309
0,1797,13,27,True,0.3692975305527163,0.43707755721146674,0.4662049607083704,0.4114923097937235,0.367507413239823,0.47120793485196183,0.4583841794835486,0.6757695396607938,0.7947653247398916,0.9966583284743307,0.6411294543011706,0.8298011172876679,0.7283954267403698,0.8661341983113997,70,62,46,12,82,34,42,76,80,34,18,82,74,80,median,80,78,74,64,90,64,60,0.09385400460424138,0.7544562761473464,0.12629379035687646,0.8503014213533997,0.42916864808203614,0.02198121924022402,0.31489079213972476,0.7535646248184114,0.4817293364046781
0,1798,10,27,True,0.36432835368239624,0.43742390674304915,0.4668115324678767,0.41245731200735597,0.42298976688940515,0.4720517052076659,0.4535822773813317,0.6840541589736192,0.9650349338732249,0.8091287756283724,0.6402553569042868,0.8111530530369128,0.7270651497769332,0.863081268204674,70,62,72,12,82,34,42,28,80,32,18,82,74,80,median,80,78,74,64,90,62,74,0.09140593438711121,0.7647098813161098,0.07642740972367316,0.9128679801293932,0.5434224844398882,0.024040737473970505,0.31596519086037267,0.7426888542081823,0.4833064354473658
0,1799,13,27,True,0.35843627250855165,0.43711679556945315,0.4668121085328164,0.19344028889455722,0.4246437750899871,0.47264551048885517,0.4575569760714901,0.6815057035711506,0.9628562881018797,0.9827989655073461,0.6424038562698797,0.8055516869109007,0.7269444419872415,0.8623131486793741,70,62,72,12,82,34,42,72,80,34,18,82,74,80,median,80,78,74,64,90,62,74,0.15788052961123372,0.7639864329452385,0.08791894019716537,0.8512154774933426,0.43104360447259166,0.024426663636948842,0.3144273748385926,0.7516758931635668,0.4816247070282002
0,1800,13,42,True,0.33877513185749997,0.44034898326958444,0.46784483848998343,0.428680359557714,0.4267062648206589,0.4720839767621729,0.45722884192917856,0.682719126652767,0.9618260773718166,0.9853743998772322,0.6463279179830359,0.8108338535486566,0.7458944284280247,0.8656389453589989,66,62,72,12,82,34,42,28,80,32,18,82,74,80,median,80,78,74,64,90,62,78,0.09174083130209325,0.7594688362616464,0.08191361508012099,0.8558741379193374,0.5403007558835548,0.024270855321229363,0.31923841527979036,0.7486983935788402,0.48342814876704543
0,1801,13,27,True,0.3606873270737132,0.43933908615420664,0.4707779288885117,0.243833703780272,0.3697233169185398,0.4702618694719897,0.45714939000808835,0.6819538742434366,0.9432712821602147,0.8094096288924106,0.6421501369580291,0.810932913102621,0.7472042401516303,0.8674085953751174,70,62,72,12,82,34,42,26,80,34,18,82,74,80,median,80,78,74,64,90,62,74,0.09433407592592288,0.763211116911328,0.10056187515411766,0.8502736513110399,0.542241294825473,0.02232128293810908,0.3171225791999591,0.7444209589412263,0.48325995022223933
0,1802,13,27,True,0.3612063939092368,0.43784869746303273,0.4692958566531887,0.19081387900371674,0.42704837700477616,0.47126480354285105,0.4530483393630598,0.6832817036144259,0.9619873588268035,0.9807863581517151,0.6417565641802384,0.8114689525990534,0.7470540704950941,0.863081994305662,70,68,72,12,82,34,48,72,80,32,18,82,70,80,median,80,78,76,64,90,62,78,0.15726483931691176,0.7640962657296083,0.07936231175278179,0.8515185986663073,0.5427635168084732,0.021974069436553823,0.3094527260112587,0.746878373390946,0.48253797851619423
