,iteration,median_filter_window_dart_bite,category_count_score,f1_per_timestamp,f1_per_annotation,f1_per_prediction
65,1,41,0.14941082399192604,0.3902176395794293,0.5752350051424638,0.26362049593920894
66,1,43,0.1497201035858322,0.39036536665440974,0.5747216818810178,0.2639847088501029
67,1,45,0.14906310797786676,0.39049537578494153,0.5748201195158075,0.264263497202099
68,1,47,0.14931195681886428,0.39073579310589235,0.5749792141220442,0.26478440897806416
69,1,49,0.14938243956878752,0.390793068009303,0.5755339903883411,0.2653496280228346
70,1,51,0.14998870869185227,0.3909509953531118,0.5749232629564164,0.26564416079675995
71,1,53,0.15023194437237877,0.3911336676664097,0.5747665481785049,0.26679198182300595
72,1,55,0.15182807617338226,0.391296422359939,0.574868085194405,0.26686776060076733
73,1,57,0.15141562923570945,0.39150011357709114,0.5755466833905677,0.2678509911178894
74,1,59,0.15168286067492237,0.3915043606686238,0.5743721980478884,0.2681967416306735
